Estacion,Fecha,Especie,Circunferencia a la altura del pecho,DAP,Fromard et al 1998,"Medina, 2016",Yepes et al 2016 A,Yepes et al 2016 B
Estacion,6/22/2017,Laguncularia,31.3,9.96307614,31.95830925,38.98737786,3.672270389,39.33677537
Estacion,6/22/2017,Laguncularia,23,7.321110262,14.79253281,19.63337529,2.91736688,18.49090624
Estacion,6/22/2017,Laguncularia,61.5,19.57601222,172.9460871,175.3863023,5.327047129,205.7962839
Estacion,6/22/2017,Laguncularia,31,9.867583397,31.19803103,38.16030079,3.648674701,38.41948926
Estacion,6/22/2017,Laguncularia,48.5,15.43799338,95.51625749,103.3664309,4.745237355,115.0186751
Estacion,6/22/2017,Laguncularia,50,15.91545709,103.0737228,110.6193066,4.819862414,123.9300532
Estacion,6/22/2017,Laguncularia,25,7.957728546,18.22103208,23.63838215,3.121651821,22.68168678
Estacion,6/22/2017,Laguncularia,24.6,7.830404889,17.50091352,22.80457782,3.082134836,21.8028796
Estacion,6/22/2017,Laguncularia,33.7,10.72701808,38.44126788,45.95781001,3.853275752,47.14178464
Estacion,6/22/2017,Laguncularia,20,6.366182837,10.43032739,14.38325885,2.574950121,13.12964441
Estacion,6/22/2017,Laguncularia,35,11.14081996,42.25645517,49.99852679,3.946008801,51.72235118
Estacion,6/22/2017,Laguncularia,16.6,5.283931755,6.546258807,9.499325325,2.118442654,8.317642669
Estacion,6/22/2017,Laguncularia,32.2,10.24955437,34.30541128,41.52736995,3.741723859,42.16587398
Estacion,6/22/2017,Laguncularia,21.6,6.875477464,12.64320934,17.07151035,2.763504672,15.85399439
Estacion,6/22/2017,Laguncularia,33,10.50420168,36.47604987,43.85948722,3.801849576,44.77881407
Estacion,6/22/2017,Laguncularia,24.7,7.862235803,17.67931094,23.01148314,3.092073997,22.02065585
Estacion,6/22/2017,Laguncularia,26.4,8.403361345,20.88010933,26.68720532,3.255147875,25.92090754
Estacion,6/22/2017,Laguncularia,22.2,7.066462949,13.53958607,18.14530934,2.830632158,16.95473162
Estacion,6/22/2017,Laguncularia,25,7.957728546,18.22103208,23.63838215,3.121651821,22.68168678
Estacion,6/22/2017,Laguncularia,18.6,5.920550038,8.699720732,12.23735991,2.397151923,10.99103302
Estacion,6/22/2017,Laguncularia,26.2,8.339699516,20.48689678,26.23917095,3.236516607,25.4424535
Estacion,6/22/2017,Laguncularia,23.8,7.575757576,16.11258954,21.18629676,3.001135723,20.10654489
Estacion,6/22/2017,Laguncularia,41.8,13.30532213,65.86635879,74.23880761,4.381002082,79.90753862
Estacion,6/22/2017,Laguncularia,28.1,8.944486886,24.40555852,30.66506324,3.408041513,30.20292937
Estacion,6/22/2017,Laguncularia,48.5,15.43799338,95.51625749,103.3664309,4.745237355,115.0186751
Estacion,6/22/2017,Laguncularia,23,7.321110262,14.79253281,19.63337529,2.91736688,18.49090624
Estacion,6/22/2017,Laguncularia,46.5,14.8013751,85.97166413,94.1155465,4.642064216,103.7438079
Estacion,6/22/2017,Laguncularia,40.7,12.95518207,61.61819527,69.95924385,4.315664877,74.85365649
Estacion,6/22/2017,Laguncularia,32.3,10.28138528,34.57237833,41.81504898,3.749320765,42.48741426
Estacion,6/22/2017,Laguncularia,43,13.6872931,70.6958776,79.06755031,4.450346334,85.64512994
Estacion,6/22/2017,Laguncularia,37.5,11.93659282,50.21126009,58.29983539,4.115041336,61.24715867
Estacion,6/22/2017,Laguncularia,21.2,6.748153807,12.06598006,16.37563972,2.717708946,15.14434406
Estacion,6/22/2017,Laguncularia,30.5,9.708428826,29.95522248,36.80351309,3.608836425,36.91905402
Estacion,6/22/2017,Laguncularia,36.6,11.65011459,47.25259507,55.23042722,4.05552424,57.70836599
Estacion,6/22/2017,Laguncularia,39,12.41405653,55.38401914,63.61951518,4.211132084,67.42428832
Estacion,6/22/2017,Laguncularia,28.5,9.071810542,25.2833782,31.64540881,3.442671064,31.26713131
Estacion,6/22/2017,Laguncularia,28,8.912655971,24.1890064,30.42262996,3.3993071,29.94028115
Estacion,6/22/2017,Laguncularia,17.8,5.665902725,7.794225327,11.09632599,2.289442271,9.868751497
Estacion,6/22/2017,Laguncularia,37.2,11.84110008,49.21305219,57.26653621,4.095362516,60.05370415
Estacion,6/22/2017,Laguncularia,35.5,11.29997454,43.78182228,51.60271112,3.980761157,53.5513669
Estacion,6/22/2017,Laguncularia,31.5,10.02673797,32.47127454,39.54419427,3.687875538,39.95542749
Estacion,6/22/2017,Laguncularia,33.1,10.53603259,36.75301193,44.15594253,3.809262592,45.11198348
Estacion,6/22/2017,Laguncularia,32.9,10.47237077,36.20034387,43.5641316,3.794414062,44.44710529
Estacion,6/22/2017,Laguncularia,23.4,7.448433919,15.44409963,20.40169727,2.959609305,19.28871502
Estacion,6/22/2017,Laguncularia,43.7,13.9101095,73.60825861,81.96189394,4.489908901,89.10128344
Estacion,6/22/2017,Laguncularia,20.8,6.62083015,11.50485868,15.69568677,2.671040868,14.45384487
Estacion,6/22/2017,Laguncularia,34.5,10.98166539,40.76342705,48.42220337,3.910756394,49.93083097
Estacion,6/22/2017,Laguncularia,34.4,10.94983448,40.46868174,48.11027403,3.903644633,49.57700513
Estacion,6/22/2017,Laguncularia,21.6,6.875477464,12.64320934,17.07151035,2.763504672,15.85399439
Estacion,6/22/2017,Laguncularia,22.5,7.161955691,14.00165094,18.69576637,2.863518558,17.52156409
Estacion,6/22/2017,Laguncularia,34.5,10.98166539,40.76342705,48.42220337,3.910756394,49.93083097
Estacion,6/22/2017,Laguncularia,27.8,8.848994143,23.7593711,29.94094116,3.381744301,29.41905222
Estacion,6/22/2017,Laguncularia,42,13.36898396,66.65706345,75.03196741,4.392696615,80.84747703
Estacion,6/22/2017,Laguncularia,21,6.684491979,11.7834154,16.03367779,2.694486023,14.79671075
Estacion,6/22/2017,Laguncularia,16,5.092946269,5.970667793,8.751789099,2.02824842,7.600297283
Estacion,6/22/2017,Laguncularia,40,12.73236567,59.0028418,67.30858781,4.273160713,71.73882376
Estacion,6/22/2017,Laguncularia,46,14.64222052,83.67920207,91.87728444,4.615577472,101.0321241
Estacion,6/22/2017,Laguncularia,42.2,13.43264579,67.45343623,75.82977282,4.404335592,81.79392762
Estacion,6/22/2017,Laguncularia,26.6,8.467023173,21.27781569,27.13942174,3.273638529,26.40464605
Estacion,6/22/2017,Laguncularia,38.5,12.25490196,53.62592234,61.81784799,4.179518742,65.3261832
Estacion,6/22/2017,Laguncularia,33,10.50420168,36.47604987,43.85948722,3.801849576,44.77881407
