Localidad,Fecha,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg) Medina 2016,Biomasa de arboles muertos (kg),Biomasa total (kg)
San Andres,3/10/2022,Old Point,2,P8,Rm,25.7,8.180544945,,V,,43.33622139,,43.336221
San Andres,3/10/2022,Old Point,2,P8,Rm,9,2.864782277,,M,3,3.817601238,2.672321,6.489922
San Andres,3/10/2022,Old Point,2,P8,Rm,10.8,3.437738732,,M,3,5.822626087,4.075838,9.898464
San Andres,3/10/2022,Old Point,2,P8,Rm,13.2,4.201680672,,M,3,9.26611538,6.486281,15.752396
San Andres,3/10/2022,Old Point,2,P8,Ag,11.6,3.692386045,,V,,4.943822581,,4.943823
San Andres,3/10/2022,Old Point,2,P8,Ag,13.4,4.265342501,,V,,7.041319629,,7.04132
San Andres,3/10/2022,Old Point,2,P8,Ag,45.4,14.45123504,,V,,140.2603955,,140.260395
San Andres,3/10/2022,Old Point,2,P8,Ag,16.9,5.379424497,,V,,12.4377281,,12.437728
San Andres,3/10/2022,Old Point,2,P8,Rm,9.8,3.11942959,,M,2,4.649632345,3.952187,8.60182
San Andres,3/10/2022,Old Point,2,P8,Ag,30,9.549274255,,V,,50.79130891,,50.791309
San Andres,3/10/2022,Old Point,2,P8,Ag,12.4,3.947033359,,V,,5.822012991,,5.822013
San Andres,3/10/2022,Old Point,2,P8,Ag,71.1,22.63177998,,V,,421.2694103,,421.26941
San Andres,3/10/2022,Old Point,2,P8,Ag,35.6,11.33180545,,V,,77.2718277,,77.271828
San Andres,3/10/2022,Old Point,2,P8,Rm,28.7,9.135472371,,M,3,55.95859945,39.17102,95.129619
San Andres,3/10/2022,Old Point,3,P3,Rm,29,9.230965113,,V,,57.32221521,,57.322215
San Andres,3/10/2022,Old Point,3,P3,Lr,49.3,15.69264069,,V,,107.2009157,,107.200916
San Andres,3/10/2022,Old Point,3,P3,Lr,51,16.23376623,,V,,115.6054621,,115.605462
San Andres,3/10/2022,Old Point,3,P3,Lr,83,26.41965877,,V,,341.8846317,,341.884632
San Andres,3/10/2022,Old Point,3,P3,Rm,41.4,13.17799847,,V,,130.6994532,,130.699453
San Andres,3/10/2022,Old Point,3,P3,Lr,85,27.05627706,,V,,360.497627,,360.497627
San Andres,3/10/2022,Old Point,3,P3,Rm,41.3,13.14616756,,V,,129.9696757,,129.969676
