Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
205,EIA PPII - PLATERO sobre YNC,Phyllanthus attenuatus Miq.,0.16265633,0.022839801,0.40367981,0.196329671,14,8,0.006891607,0.0034458,0.0103374,86,3
206,EIA PPII - PLATERO sobre YNC,Leonia triandra Cuatrec. ex L.B. Sm.& A. Fernánde,0.116183501,0.01080064,0.060483599,0.096094904,11.5,4,0.002115261,0.001057631,0.002115261,40,2
207,EIA PPII - PLATERO sobre YNC,Inga vera Willd.,0.172428539,0.024764521,2.11045624,0.224689892,12.61538462,8.923076923,0.0094181,0.004709044,0.06121757,345,13
208,EIA PPII - PLATERO sobre YNC,Oenocarpus minor Mart.,0.168545,0.0227528,2.00E-05,0.249066003,15.5,1.00E-05,0.01018406,0.005092025,0.01018405,33,2
209,EIA PPII - PLATERO sobre YNC,Guatteria punctata (Aubl.) RAHoward,0.215575005,0.038627167,0.442403896,0.494708012,18,4.666666667,0.039421993,0.019711014,0.059133042,81,3
210,EIA PPII - PLATERO sobre YNC,Pseudobombax septenatum (Jacq.) Dugand,0.267062006,0.081030761,0.394344203,0.478697228,12,3.666666667,0.048552791,0.024276459,0.072829378,48,3
211,EIA PPII - PLATERO sobre YNC,Ormosia colombiana Rudd,0.459808253,0.199602395,6.873342842,3.316282973,23.25,10.25,1.840046447,0.920024425,3.680097699,143,4
212,EIA PPII - PLATERO sobre YNC,Pithecellobium longifolium Standl.,0.164248005,0.021188,0.0444948,0.133484006,9,3,0.00303236,0.00151618,0.00151618,11,1
213,EIA PPII - PLATERO sobre YNC,Byrsonima crassifolia (L.) Kunth,0.245575998,0.0506311,1.838010501,0.625371482,15.5,11.25,0.063275609,0.031637754,0.126551017,104,4
214,EIA PPII - PLATERO sobre YNC,Himatanthus articulatus (Vahl) Woodson,0.2266368,0.041418499,2.083133057,0.516893005,17.4,14,0.039405972,0.019702996,0.098514978,95,5
215,EIA PPII - PLATERO sobre YNC,Talisia cerasina Radlk.,0.144831002,0.016683425,0.340285998,0.120910075,9.75,6.5,0.003093564,0.00154678,0.006187122,60,4
216,EIA PPII - PLATERO sobre YNC,Neea amplifolia Donn.Sm.,0.108225003,0.00919916,0.045075901,0.064394102,10,7,0.000797624,0.000398812,0.000398812,32,1
217,EIA PPII - PLATERO sobre YNC,Caryocar amygdaliferum Cav.,0.24297633,0.060831499,2.340256162,0.979342297,18,14,0.232760698,0.116380349,0.349141047,93,3
218,EIA PPII - PLATERO sobre YNC,Pouteria caimito (Ruiz & Pav.) Radlk.,0.151197001,0.01940498,0.245911501,0.194797844,12.5,8,0.008360856,0.004180423,0.008360847,69,2
