Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
11,EIA PPII - KALE sobre YNC,Apeiba membranacea Benth.,0.130666208,0.013612561,0.086282387,0.098897569,10.5,5.399999976,6.231890917,3.115945458,6.231890917,59,2
12,EIA PPII - KALE sobre YNC,Apuleia leiocarpa (Vogel) J.F. Macbr.,0.303349316,0.072272979,0.505910814,1.264777064,25,10,35.36516953,17.68258476,17.68258476,6,1
13,EIA PPII - KALE sobre YNC,"Aspidosperma cf., darienense Woodson ex Dwyer",0.300802857,0.071064673,0.497452706,1.243631721,25,10,24.92964745,12.46482372,12.46482372,32,1
14,EIA PPII - KALE sobre YNC,Aspidosperma polyneuron Müll.Arg.,0.16769132,0.022085693,0.077299923,0.108219892,7,5,8.400290489,4.200145245,4.200145245,35,1
15,EIA PPII - KALE sobre YNC,Astronium graveolens Jacq.,0.254647918,0.058438884,0.866554331,0.692723535,16.33333333,7.333333333,22.86561521,11.4328076,34.29842281,71,3
16,EIA PPII - KALE sobre YNC,Attalea butyracea (Mutis ex L. f.) Wess. Boer,0.244621158,0.05076235,2.00E-05,0.318092875,10,1.00E-05,5.581006527,2.790503263,5.581006527,86,2
17,EIA PPII - KALE sobre YNC,Bactris sp.,0.1527244,0.018319212,1.00E-05,0.179528266,14,1.00E-05,9.703914642,4.851957321,4.851957321,40,1
18,EIA PPII - KALE sobre YNC,Bellucia pentamera Naudin.,0.148428102,0.019473726,2.442154175,0.130867704,9.308510638,3.863829784,7.405256205,3.702628103,174.0235208,1314,47
19,EIA PPII - KALE sobre YNC,Brosimum guianense (Aubl.) Ducke,0.202922555,0.03595704,1.067884251,0.505122632,20,9.25,26.66192007,13.33096004,53.32384014,111,4
20,EIA PPII - KALE sobre YNC,"Buchenavia cf., tetraphylla (Aubl.) R.A.Howard",0.369876087,0.107449003,0.752143025,1.278643131,17,10,21.03513145,10.51756573,10.51756573,2,1
21,EIA PPII - KALE sobre YNC,Bursera simaruba (L.) Sarg.,0.207856357,0.03471249,0.635403454,0.45359987,16,11,8.522572041,4.26128602,8.522572041,30,2
22,EIA PPII - KALE sobre YNC,Byrsonima spicata (Cav.) DC.,0.191001091,0.032777161,3.709467463,0.327211376,12.80952381,7.119047619,12.47645446,6.238227231,131.0027719,395,21
23,EIA PPII - KALE sobre YNC,Byrsonima crassifolia (L.) Kunth.,0.138783112,0.015127359,0.031767454,0.063534908,6,3,4.88513279,2.442566395,2.442566395,27,1
24,EIA PPII - KALE sobre YNC,Calophyllum brasiliense Cambess.,0.226057893,0.048508445,6.00610599,0.549432939,16.22727273,7.613636364,15.53423298,7.767116492,170.8765628,476,22
